terrakey,intent,assgn_id,adm,adm_ref_id,addr_code,network,stn_id,ctry,d_adm_ntc,d_inuse,d_rcv,notice_typ,op_agcy,fragment,prov,region,transmitter.frq,lat_deg,lat_ns,lat_min,lat_sec,transmitter.lat,lat_rdn,long_deg,long_ew,long_min,long_sec,transmitter.lon,long_rdn,site,sync_net,gnd_cond,rj81_id,rj81_cls,noise_zn,src_notice,d_updated,src_update,stage,is_notice,is_public,is_resub,target,amend_type,is_pub_req,d_pub_req,fdg_observ,d_recog,freq_min,freq_max,terrakey.1,op_prd_cde,op_prd_no,transmitter.txw,pwr_dbw,bdwdth,emi_cls,tran_sys,adj_ratio,ant_type,antenna.azi,e_max,emrp_kw,emrp_dbw,transmitter.alt,op_hh_fr,op_hh_to
26521,RECORDED,75008762,AGL,,,26521,,AGL,,,,1A2,,GE75,,1,1.53,14,S,56,0,-14.933333333333334,-0.2606358349644821,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.525,1.535,26521,HJ,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,600.0,2400.0
26521,RECORDED,75008762,AGL,,,26521,,AGL,,,,1A2,,GE75,,1,1.53,14,S,56,0,-14.933333333333334,-0.2606358349644821,13,E,30,0,13.5,0.2356194490192305,LUBANGO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.525,1.535,26521,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,50.0,600.0,2400.0
23232,RECORDED,75005443,AGL,,,23232,,AGL,,,,1A2,,GE75,,1,1.215,11,S,48,0,-11.8,-0.2059488517353274,19,E,55,0,19.916666666666668,0.3476114093555315,LUSO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2100000000000002,1.22,23232,HJ,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,58.0,500.0,2200.0
23232,RECORDED,75005443,AGL,,,23232,,AGL,,,,1A2,,GE75,,1,1.215,11,S,48,0,-11.8,-0.2059488517353274,19,E,55,0,19.916666666666668,0.3476114093555315,LUSO,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.2100000000000002,1.22,23232,HN,1,1000.0,30.0,10,A3E--,ANALOG,5.0,A,,0.4,,,58.0,500.0,2200.0
22952,RECORDED,75005158,AGL,,,22952,,AGL,,,,1A2,,GE75,,1,1.17,9,S,33,0,-9.55,-0.1666789435654556,16,E,22,0,16.366666666666667,0.2856522209097338,MALANGE,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.165,1.1749999999999998,22952,HN,1,5000.0,36.9897,10,A3E--,ANALOG,5.0,A,,7.4,,,65.0,600.0,2100.0
23549,RECORDED,75005762,AGL,,,23549,,AGL,,,,1A2,,GE75,,1,1.251,14,S,40,0,-14.666666666666666,-0.2559816236258306,17,E,40,0,17.666666666666668,0.3083415011856596,MENONGUE,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.241,1.261,23549,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
23549,RECORDED,75005762,AGL,,,23549,,AGL,,,,1A2,,GE75,,1,1.251,14,S,40,0,-14.666666666666666,-0.2559816236258306,17,E,40,0,17.666666666666668,0.3083415011856596,MENONGUE,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.241,1.261,23549,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,62.0,0.0,2400.0
23098,RECORDED,75005309,AGL,,,23098,,AGL,,,,1A2,,GE75,,1,1.197,15,S,10,0,-15.166666666666666,-0.2647082698858021,12,E,10,0,12.166666666666666,0.2123483923259731,MOCAMEDES,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.187,1.207,23098,HJ,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,63.0,0.0,2400.0
23098,RECORDED,75005309,AGL,,,23098,,AGL,,,,1A2,,GE75,,1,1.197,15,S,10,0,-15.166666666666666,-0.2647082698858021,12,E,10,0,12.166666666666666,0.2123483923259731,MOCAMEDES,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1975-11-22 00:00:00,1.187,1.207,23098,HN,1,5000.0,36.9897,20,A3E--,ANALOG,9.0,A,,7.4,,,63.0,0.0,2400.0
25355,RECORDED,75007594,AGL,,,25355,,AGL,,,,1A2,,GE75,,1,1.485,15,S,14,0,-15.233333333333333,-0.265871822720465,12,E,9,0,12.15,0.2120575041173074,MOCAMEDES,,10.0,,,C,NOTIFIER,,,RECORDED,False,True,False,,RECORDED,False,,,1986-01-17 00:00:00,1.4805,1.4895,25355,HJ,1,1000.0,30.0,9,A3E--,ANALOG,5.0,A,,0.0,1.0,30.0,58.0,600.0,2300.0
