site,network,transmitter.lat,transmitter.lon,transmitter.alt,transmitter.txw,transmitter.frq
DOUALA,2343341,4.01666666666666,9.71666666666666,,10000.0,27.7
DOUALA,2343348,4.01666666666666,9.71666666666666,,30000.0,3.053
DOUALA,2343349,4.01666666666666,9.71666666666666,,30000.0,3.053
DOUALA,2343350,4.01666666666666,9.71666666666666,,30000.0,3.053
DOUALA,2343469,4.01666666666666,9.71666666666666,,37000.0,3.985
DOUALA,2343508,4.01666666666666,9.71666666666666,,28800.0,4.7175
DOUALA,2343509,4.01666666666666,9.71666666666666,,28800.0,4.7175
DOUALA,2343510,4.01666666666666,9.71666666666666,,28800.0,4.7175
DOUALA,2343583,4.01666666666666,9.71666666666666,,28800.0,5.6955
DOUALA,2343584,4.01666666666666,9.71666666666666,,28800.0,5.6955
DOUALA,2343585,4.01666666666666,9.71666666666666,,28800.0,5.6955
DOUALA,2343586,4.01666666666666,9.71666666666666,,30000.0,5.703
DOUALA,2343587,4.01666666666666,9.71666666666666,,30000.0,5.703
DOUALA,2343588,4.01666666666666,9.71666666666666,,30000.0,5.703
DOUALA,2343589,4.01666666666666,9.71666666666666,,30000.0,5.718
DOUALA,2343590,4.01666666666666,9.71666666666666,,30000.0,5.718
DOUALA,2343591,4.01666666666666,9.71666666666666,,30000.0,5.718
DOUALA,2343630,4.01666666666666,9.71666666666666,,30000.0,6.5604
DOUALA,2343642,4.01666666666666,9.71666666666666,,30000.0,6.7155
DOUALA,2343644,4.01666666666666,9.71666666666666,,30000.0,6.7155
DOUALA,2343646,4.01666666666666,9.71666666666666,,30000.0,6.7155
DOUALA,2343796,4.01666666666666,9.71666666666666,,28500.0,8.108
DOUALA,2343801,4.01666666666666,9.71666666666666,,37000.0,8.1575
DOUALA,2343809,4.01666666666666,9.71666666666666,,30000.0,8.8744
DOUALA,2343811,4.01666666666666,9.71666666666666,,30000.0,8.984
DOUALA,2343812,4.01666666666666,9.71666666666666,,30000.0,8.984
DOUALA,2343813,4.01666666666666,9.71666666666666,,30000.0,8.984
DOUALA,2343824,4.01666666666666,9.71666666666666,,27000.0,9.0095
DOUALA,2343825,4.01666666666666,9.71666666666666,,27000.0,9.0095
DOUALA,2343826,4.01666666666666,9.71666666666666,,27000.0,9.0095
DOUALA,2343648,4.05,9.71666666666666,,30000.0,6.7455
DOUALA,2343649,4.05,9.71666666666666,,30000.0,6.7455
DOUALA,2343650,4.05,9.71666666666666,,30000.0,6.7455
DOUALA,2343313,4.06666666666666,9.71666666666666,,29000.0,24.075
DOUALA,2343135,4.05,9.75,,27000.0,12.015
DOUALA,2343136,4.05,9.75,,33000.0,12.015
DOUALA,2343137,4.05,9.75,,33000.0,12.015
DOUALA,2343138,4.05,9.75,,33000.0,12.015
DOUALA,2343140,4.05,9.75,,33000.0,12.105
DOUALA,2343141,4.05,9.75,,33000.0,12.105
